data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
09/05/2019,Primeira Extração,4591,2316,4112,1152,8617,1471,1789,2250,3893,5577
08/05/2019,Segunda Extração,6591,2861,0295,0047,9828,4496,8139,4662,5611,5992
08/05/2019,Primeira Extração,7178,4905,0565,7277,6653,7620,1812,5218,0017,0705
07/05/2019,Segunda Extração,1132,5150,4271,6747,1632,5025,4970,7990,4600,6614
07/05/2019,Primeira Extração,6846,6221,3177,1775,9136,3583,7296,3063,2007,6014
06/05/2019,Segunda Extração,4782,1884,4429,5519,1204,2556,4920,5841,8716,2060
06/05/2019,Primeira Extração,5630,9235,1375,7953,1772,0434,7179,9001,3642,2084
04/05/2019,Segunda Extração,9971,0495,2763,6053,2442,3910,6861,9001,8269,7617
04/05/2019,Primeira Extração,9772,5944,1627,6474,4923,9435,6665,1703,8836,0688
03/05/2019,Segunda Extração,3996,7876,8814,0393,1010,7229,9609,6927,2641,5366
03/05/2019,Primeira Extração,4036,5982,6412,1494,3108,4457,7820,4260,5718,5282
02/05/2019,Segunda Extração,5410,7646,7605,7288,7464,6698,3612,0034,0388,4252
02/05/2019,Primeira Extração,8202,8562,1870,4713,9912,9761,5035,4542,1050,3818
30/04/2019,Segunda Extração,9238,9446,7407,9436,3961,0645,4455,9513,7466,6348
30/04/2019,Primeira Extração,8512,0349,4711,3824,3915,2700,8544,5612,3578,4110
29/04/2019,Segunda Extração,5242,8013,4671,1806,7586,5265,9853,2570,9274,2041
29/04/2019,Primeira Extração,1071,6377,3631,8132,5146,3554,9707,7810,8616,0961
27/04/2019,Segunda Extração,6227,3801,1739,0397,8631,4665,0786,3413,9754,2905
27/04/2019,Primeira Extração,2450,6335,5930,5090,4595,2870,0972,3258,8969,6815
26/04/2019,Segunda Extração,6103,2833,1935,1938,2427,1974,6275,0451,1479,6328
26/04/2019,Primeira Extração,9113,9052,1651,1999,3837,6940,8371,0248,4017,0245
25/04/2019,Segunda Extração,1081,6407,7463,2644,1722,6789,6574,7146,2421,3578
25/04/2019,Primeira Extração,5745,2186,8713,8273,0130,4920,6041,4663,9009,6753
24/04/2019,Segunda Extração,7855,7469,0644,5305,9830,6572,4649,7005,3159,1436
24/04/2019,Primeira Extração,2328,5545,2492,9165,0980,0785,0093,3975,7276,1337
23/04/2019,Segunda Extração,9349,9913,7049,8361,5866,3343,5737,5910,9027,4073
23/04/2019,Primeira Extração,1041,7642,9734,8233,2706,5224,3916,4556,1185,6257
